What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
Response,Response,Response,Response,Response,Response,Response,Response,"Influencer, Recommender, Approver, Purchaser, Check Writer, No Involvement, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000, $10,001 - $25,000, $25,001 - $40,000, $41,000 - $75,000, $75,001 - $100,000, $100,001 - $150,000, >$150,000, Don't know",Response,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C++, C, Perl, None, other (please specify)",Response,Response,Response,"iPhone, Android, Blackberry, Other Smart Phone, Regular Mobile Phone, Kindle, Nook, Blu-Ray, HDTV, AppleTV, iPad, Other netbook, PS3, Xbox, Wii, Other gaming system, other (please specify)",Response,Response
Africa,,< 20,<2,Consulting,Start Up (1-25),Web Application Developer,Not in a million years,"nan, Approver","nan, Software","nan, $25,001 - $40,000",Mobile,"nan, JavaScript",Linux,FML,Student / Unemployed,iPhone,<$100,
Other Europe,,25-29,41310,Software Products,Mature Small Business (25-100),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"Java, SQL, C",Windows 7,So happy it hurts,,"iPhone, Other netbook",$251-$500,Stack Overflow
India,,25-29,41435,Software Products,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"nan, I'm a Seller",nan,nan,SaaS,"Java, JavaScript, SQL",Linux,,,nan,,
Germany,,< 20,41310,Foundation / Non-Profit,Student,Student,It's been known to happen,"nan, No Involvement","nan, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"Java, Haskell",Linux,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone, Kindle, Wii, Other gaming system","$501-$1,000",Stack Overflow
Other Asia,,35-39,11,Software Products,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"Influencer, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000, $10,001 - $25,000, $25,001 - $40,000, $41,000 - $75,000, $75,001 - $100,000, $100,001 - $150,000, >$150,000, Don't know",Enterprise,"Java, JavaScript, CSS, PHP, SQL, C++, C, Perl",Linux,It pays the bills,"$80,000 - $100,000","nan, Android, Regular Mobile Phone, Kindle, Xbox",$251-$500,Stack Overflow
Australia,,35-39,11,Consulting,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Approver, Check Writer, I'm a Seller","Hardware, Software, Consultants","nan, $10,001 - $25,000",Enterprise,"nan, JavaScript, SQL, C#",Windows 7,So happy it hurts,,"iPhone, iPad",">$3,000",Stack Overflow
United States of America,Illinois,20-24,41310,Manufacturing,Mature Small Business (25-100),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, Python, SQL, C#, C++, C, Perl",Windows 7,It pays the bills,"$20,000 - $40,000","nan, Other netbook, multi touch display",">$3,000",Stack Overflow
United States of America,Georgia,20-24,41435,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"nan, JavaScript, CSS, PHP, SQL",Linux,I enjoy going to work,"$80,000 - $100,000","nan, Android, Other netbook, Xbox, Wii, Other gaming system","$1,001-$2,000",None
Germany,,35-39,11,Software Products,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"nan, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Blu-Ray, HDTV","$501-$1,000",Stack Overflow
