Year,Which languages are you proficient in?,What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
2011,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C++, C, Perl, None, other (please specify)",Response,Response,Response,Response,Response,Response,Response,Response,"Influencer, Recommender, Approver, Purchaser, Check Writer, No Involvement, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000, $10,001 - $25,000, $25,001 - $40,000, $41,000 - $75,000, $75,001 - $100,000, $100,001 - $150,000, >$150,000, Don't know",Response,Response,Response,Response,"iPhone, Android, Blackberry, Other Smart Phone, Regular Mobile Phone, Kindle, Nook, Blu-Ray, HDTV, AppleTV, iPad, Other netbook, PS3, Xbox, Wii, Other gaming system, other (please specify)",Response,Response
2011,"nan, JavaScript",Africa,,< 20,<2,Consulting,Start Up (1-25),Web Application Developer,Not in a million years,"nan, Approver","nan, Software","nan, $25,001 - $40,000",Mobile,Linux,FML,Student / Unemployed,iPhone,<$100,
2011,"Java, SQL, C",Other Europe,,25-29,41310,Software Products,Mature Small Business (25-100),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows 7,So happy it hurts,,"iPhone, Other netbook",$251-$500,Stack Overflow
2011,"Java, JavaScript, SQL",India,,25-29,41435,Software Products,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"nan, I'm a Seller",nan,nan,SaaS,Linux,,,nan,,
2011,"Java, Haskell",Germany,,< 20,41310,Foundation / Non-Profit,Student,Student,It's been known to happen,"nan, No Involvement","nan, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,Linux,I enjoy going to work,Student / Unemployed,"nan, Regular Mobile Phone, Kindle, Wii, Other gaming system","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL, C++, C, Perl",Other Asia,,35-39,11,Software Products,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"Influencer, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000, $10,001 - $25,000, $25,001 - $40,000, $41,000 - $75,000, $75,001 - $100,000, $100,001 - $150,000, >$150,000, Don't know",Enterprise,Linux,It pays the bills,"$80,000 - $100,000","nan, Android, Regular Mobile Phone, Kindle, Xbox",$251-$500,Stack Overflow
2011,"nan, JavaScript, SQL, C#",Australia,,35-39,11,Consulting,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Approver, Check Writer, I'm a Seller","Hardware, Software, Consultants","nan, $10,001 - $25,000",Enterprise,Windows 7,So happy it hurts,,"iPhone, iPad",">$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, Python, SQL, C#, C++, C, Perl",United States of America,Illinois,20-24,41310,Manufacturing,Mature Small Business (25-100),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, Don't know",Web Platform,Windows 7,It pays the bills,"$20,000 - $40,000","nan, Other netbook, multi touch display",">$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL",United States of America,Georgia,20-24,41435,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Linux,I enjoy going to work,"$80,000 - $100,000","nan, Android, Other netbook, Xbox, Wii, Other gaming system","$1,001-$2,000",None
2011,"nan, C#",Germany,,35-39,11,Software Products,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Blu-Ray, HDTV","$501-$1,000",Stack Overflow
2011,nan,Germany,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"nan, SQL, C#, C++, C",United Kingdom,,35-39,11,Education,Mid Sized (100-999),IT Staff / System Administrator,I run this place,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, >$150,000",Web Platform,Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Kindle, HDTV, Xbox","$1,001-$2,000",Server Fault
2011,"nan, JavaScript, Python, SQL, C++, C, Perl",United Kingdom,,25-29,11,Web Services,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,Linux,It pays the bills,"$40,000 - $60,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, Wii",$251-$500,Stack Overflow
2011,"nan, C#",India,,25-29,41435,Software Products,Mature Small Business (25-100),Database Administrator,Once in a blue moon,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,Windows 7,It pays the bills,"$20,000 - $40,000","nan, Regular Mobile Phone","$2,001-$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, SQL, C",United Kingdom,,30-34,11,Education,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Linux,I'm not happy in my job,"$40,000 - $60,000","iPhone, Kindle, HDTV","$501-$1,000",Stack Overflow
2011,"Java, Python, SQL",Other Europe,,20-24,41310,Web Services,Student,Server Programmer,It's been known to happen,"Influencer, Recommender","Hardware, Servers","nan, Don't know",Web Platform,Linux,I enjoy going to work,Student / Unemployed,nan,">$3,000",Stack Overflow
