Year,Which languages are you proficient in?
2012,"Java, JavaScript, CSS, PHP, Python, Objective-C, Ruby, SQL, C#, C++, C, Perl, HTML5, None, Other (please specify)"
2012,"Java, JavaScript, SQL, C++, C"
2012,"JavaScript, CSS, PHP, Objective-C, C++, HTML5"
2012,"CSS, PHP, Objective-C, SQL, HTML5"
2012,"Java, C++"
2012,Java
2012,"Java, JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, PHP, SQL, HTML5"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"Java, SQL, C#, C++"
2012,
2012,"Java, JavaScript, CSS, Python, C++, C"
2012,"PHP, Objective-C, SQL, C++, C, Perl"
2012,"Java, SQL, HTML5"
2012,"JavaScript, CSS, SQL, C#"
2012,
2012,"Java, PHP"
2012,"SQL, C#"
2012,"Java, JavaScript, CSS, PHP, SQL"
2012,"Java, JavaScript, SQL, C++, C"
2012,"Java, JavaScript, CSS, PHP, Ruby, SQL, HTML5"
2012,"Java, SQL"
2012,"CSS, C#"
2012,"JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,Java
2012,"Java, JavaScript, CSS, SQL, HTML5, VB.NET"
2012,"JavaScript, CSS, PHP, Python, Objective-C, SQL, C#, ASP.NET"
2012,PHP
2012,
2012,"CSS, PHP, Python, SQL, C#, C++, HTML5"
2012,
2012,"SQL, C#"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, SQL, C++, Perl, HTML5"
2012,"JavaScript, CSS, SQL, C#"
2012,"JavaScript, CSS, PHP, SQL, mIRC Scripting Language"
2012,"SQL, C#"
2012,
2012,
2012,"JavaScript, PHP, SQL, HTML5"
2012,"Java, JavaScript, CSS, SQL, C#"
2012,"CSS, PHP, Ruby, C#, C++"
2012,"Java, Python, Ruby, SQL, C++, C"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, HTML5"
2012,"Java, JavaScript, CSS, Objective-C, SQL, C++, C, HTML5"
2012,Java
2012,
2012,"Java, SQL, C++"
2012,"C, ASCET"
2012,"Java, JavaScript, CSS, Objective-C, SQL, C++, C, HTML5"
2012,
2012,"SQL, C#, C++"
2012,"JavaScript, CSS, PHP"
2012,"JavaScript, CSS, SQL, C#, HTML5"
2012,"JavaScript, CSS, PHP, Python, SQL, HTML5"
2012,"Java, SQL, C#"
2012,"C#, C++"
2012,"Java, JavaScript, CSS, PHP, C, HTML5"
2012,"Java, JavaScript, SQL, C++, C, HTML5, clojure"
2012,
2012,
2012,"Java, JavaScript, CSS, PHP, Python, Objective-C, SQL, C#, C++, C, HTML5"
2012,"Java, JavaScript, CSS, PHP, SQL, C#, C++, HTML5"
2012,
2012,"JavaScript, CSS, PHP, Python, Ruby, SQL, HTML5"
2012,"SQL, C#, C++, C, Brainfuck"
2012,"Java, Objective-C, C#, C++"
2012,"Objective-C, C#"
2012,"Java, C#, vb6"
2012,"SQL, C#"
2012,"JavaScript, CSS, PHP, C#, HTML5"
2012,"Java, SQL, C++, C"
2012,"Java, JavaScript, CSS, SQL, C#, HTML5"
2012,"Java, Objective-C, SQL"
