Year,Which of the following languages or technologies have you used significantly in the past year?
2013,"C, C++, C#, Java, JavaScript, jQuery, JQuery, Node.js, Objective-C, PHP, Python, Ruby, SQL, Other (please specify)"
2013,"Java, SQL"
2013,"C#, JavaScript, jQuery, PHP, MySql / VbScript"
2013,"C#, JavaScript, jQuery, SQL, PL/SQL, XSLT, XQuery"
2013,
2013,
2013,"C#, Python"
2013,"C, C++, Java, JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, jQuery, PHP, Python, SQL"
2013,
2013,
2013,"Java, jQuery, PHP, SQL"
2013,"Java, jQuery, PHP, Python, SQL"
2013,"C#, JavaScript, jQuery"
2013,"C, Java, JavaScript, jQuery, Objective-C, Freemarker, Soy"
2013,"C, Java, JavaScript, PHP, Python, SQL, Android SDK"
2013,"JavaScript, Python, SQL"
2013,
2013,"C, JavaScript, Node.js, Python, Ruby, Lua"
2013,"C, C++, Java, PHP, Python, SQL"
2013,
2013,"C, C++, Java, JavaScript, PHP, SQL, Actionscript"
2013,
2013,"C++, Objective-C, matlab"
2013,"C, Java, JavaScript, jQuery, SQL"
2013,"JavaScript, PHP, SQL"
2013,
2013,
2013,"C, C++, Python"
2013,"C++, Java, JavaScript, jQuery, PHP"
2013,"C, C++, Java, JavaScript, jQuery, Python, Ruby"
2013,"C#, JavaScript, jQuery, Node.js, SQL"
2013,"C++, C#, jQuery"
2013,"C#, JavaScript, SQL"
2013,"JavaScript, SQL"
2013,"C#, SQL, Delphi"
2013,"Java, Objective-C"
2013,"C#, JavaScript, SQL"
2013,"C, C++, C#, Java, JavaScript, Objective-C, PHP, SQL"
2013,Java
2013,
2013,
2013,
2013,"C#, JavaScript, jQuery, SQL, PowerShell"
2013,"C#, JavaScript, jQuery, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL, angularjs"
2013,"JavaScript, jQuery, PHP, Python, SQL"
2013,"JavaScript, jQuery, Node.js, PHP, Python, Ruby"
2013,"C, fortran"
2013,"C, C++, Java, Python, SQL"
2013,
2013,"JavaScript, jQuery, Objective-C, Python"
2013,"C++, JavaScript, jQuery, Objective-C, Python"
2013,"JavaScript, PHP, Python"
2013,Java
2013,"Java, PHP, SQL, Haxe"
2013,
2013,"Java, JavaScript, jQuery, Objective-C, SQL"
2013,"C, C++, Java"
2013,"Java, JavaScript, jQuery, Node.js, PHP, SQL"
2013,"C, C#, Java, JavaScript, jQuery, Objective-C, Python"
2013,"C, Java, SQL"
2013,"C#, JavaScript, Ruby"
2013,"Java, JavaScript, jQuery, Python, SQL, PL/SQL"
2013,"C, C++, Python, R"
2013,"C, C++, Python, SQL"
2013,"C#, JavaScript, jQuery, PHP, SQL"
2013,"C, C#, JavaScript, jQuery, Node.js, PHP, Python, SQL"
2013,
2013,"C#, JavaScript, jQuery, SQL"
2013,"C++, C#, Java, JavaScript, jQuery, Node.js, Objective-C, Python, SQL"
2013,C#
2013,
2013,"JavaScript, jQuery, Node.js"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, JavaScript, jQuery"
2013,
2013,JavaScript
2013,
2013,"C, C++"
2013,"C, C++, JavaScript, jQuery, PHP, SQL"
2013,"C, JavaScript, jQuery, PHP, SQL"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"Java, jQuery"
2013,"Python, SQL, R"
2013,"Java, SQL"
2013,"jQuery, PHP"
2013,"C, Java, JavaScript, jQuery, PHP, Python, Ruby, SQL"
2013,"Java, jQuery, Scala"
2013,"C, Node.js, Objective-C, Ruby"
2013,"C#, JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript, jQuery, Ruby, SQL"
2013,Java
2013,"C, C++, C#, Java, JavaScript, jQuery, PHP, SQL"
2013,
2013,"JavaScript, jQuery, Objective-C, PHP, Action Script"
2013,"Java, JavaScript, SQL"
2013,"C, C++, Java, Objective-C, Python, SQL, mathematica"
2013,"Java, JavaScript, jQuery, mongo DB"
2013,"C#, JavaScript, jQuery, Objective-C, SQL"
2013,"C#, JavaScript, jQuery, Node.js, SQL"
2013,"Java, Objective-C"
2013,"C++, JavaScript, jQuery, PHP, SQL"
2013,"C#, Java"
2013,
2013,"C#, SQL, VB"
2013,
2013,"JavaScript, jQuery, Node.js, PHP, Python, Ruby"
2013,"Java, PHP, Python, Ruby"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, Java, SQL"
2013,"C#, JavaScript, jQuery"
2013,"C, Java, jQuery, Objective-C, SQL"
2013,"C, C++, PHP, SQL"
2013,Java
2013,
2013,"C++, Java, Python, SQL, bash"
2013,"JavaScript, jQuery, PHP, SQL, Perl"
2013,
2013,"C, C++, C#, Java, PHP, SQL"
2013,"C, C++, Java, Scala"
2013,
2013,"Java, maven, Oracle DB, Cassandra, mysql"
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C#, JavaScript, jQuery, PHP, SQL, VB/VBA"
2013,"C++, Java, JavaScript, Python, extjs"
2013,"C, Java, JavaScript, jQuery, PHP, SQL"
2013,"C, C++, JavaScript, jQuery, PHP, Python, Ruby, SQL"
2013,"Java, JavaScript, jQuery, Python, Ruby, SQL"
2013,"C++, Java, JavaScript, jQuery, PHP, SQL"
2013,"Java, JavaScript, jQuery, Clojure"
2013,"C#, JavaScript, jQuery, Node.js, SQL, CSS"
2013,
2013,
2013,"C, Python, Ruby, Perl, Haskell"
2013,"C#, JavaScript, jQuery, SQL"
2013,"C#, Assembly"
2013,
2013,"C, C++, C#, Java, Perl (It's got some nice regex)"
2013,
2013,
2013,"C#, jQuery, SQL"
2013,"JavaScript, jQuery, Python"
2013,"JavaScript, jQuery, Python, Ruby"
2013,"C#, Java, SQL"
2013,"C++, Java, JavaScript, Python, Ruby"
2013,Python
2013,"C#, JavaScript, SQL, vb.net"
2013,"Java, JavaScript, jQuery, PHP"
2013,"JavaScript, jQuery, Python, SQL, Plone"
2013,"C, Java, JavaScript, Python, SQL"
2013,"Java, JavaScript, SQL"
2013,"Java, JavaScript, jQuery, PHP, SQL"
2013,Java
2013,"C#, JavaScript, SQL"
2013,"Java, JavaScript, jQuery, PHP, Ruby"
2013,"jQuery, SQL"
2013,"C++, Objective-C"
2013,"C++, C#, JavaScript, jQuery, Objective-C, PHP, SQL"
2013,
2013,"JavaScript, jQuery, PHP, SQL"
2013,"C, C++, C#, Java, JavaScript, jQuery, Objective-C, SQL"
