Year,Which of the following languages or technologies have you used significantly in the past year?
2014,"C, C++, C#, Java, JavaScript, Node.js, Objective-C, PHP, Python, Ruby, SQL, Other (please specify)"
2014,"Java, JavaScript, PHP, Python"
2014,PHP
2014,"C#, JavaScript, SQL"
2014,C++
2014,"Java, JavaScript, SQL"
2014,"SQL, oracle plsql"
2014,"Java, JavaScript, SQL"
2014,C#
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL"
2014,"C, C++, C#, Java, JavaScript, C"
2014,Python
2014,"Java, JavaScript"
2014,"C++, C#, Python"
2014,"C#, JavaScript, SQL, Powershell"
2014,"C++, Python, CMake, Lua"
2014,"C, C++"
2014,"JavaScript, PHP"
2014,"Java, JavaScript, SQL, perl"
2014,"C#, Java"
2014,"JavaScript, Node.js, PHP, Python"
2014,"C, C++, Objective-C"
2014,"Java, JavaScript, PHP, SQL"
2014,"C#, JavaScript, SQL"
2014,"C#, SQL, VB.NET"
2014,"JavaScript, Ruby, SQL"
2014,"C++, JavaScript, VB .Net"
2014,"PHP, SQL"
2014,"Objective-C, PHP, SQL"
2014,"C#, JavaScript, SQL"
2014,Python
2014,C++
2014,C++
2014,"Java, JavaScript, SQL"
2014,"C, C++, JavaScript, Node.js, Ruby, SQL"
2014,"JavaScript, Python, SQL"
2014,"C, C++, Python"
2014,Python
2014,"Java, JavaScript, PHP, SQL"
2014,"C++, PHP, Python"
2014,"JavaScript, Node.js, PHP, SQL"
2014,"C, Python, SQL"
2014,"Java, Objective-C, SQL"
2014,j
2014,"C#, JavaScript, SQL"
2014,"Java, JavaScript, PHP, Python, Ruby, SQL"
2014,"C#, JavaScript, PHP, SQL, powerbasic"
2014,"JavaScript, PHP, Python, SQL"
2014,"C++, C#, Python"
2014,"C++, Python"
2014,"C#, SQL"
2014,"C, C++, C#, Java, JavaScript, SQL"
2014,"C, Java, Node.js, Objective-C, PHP, SQL"
2014,"C++, JavaScript, Node.js, SQL"
2014,"JavaScript, Node.js, PHP, Python, SQL"
2014,"C++, JavaScript, Node.js, Objective-C"
2014,"JavaScript, PHP, SQL"
2014,"C#, Java, JavaScript, Node.js, PHP"
2014,"SQL, VB.Net"
2014,"Java, JavaScript, Objective-C, PHP"
2014,"Java, Scala"
2014,"Java, PHP"
2014,"C, C++, Python"
2014,"C, C++, C#, JavaScript, SQL"
2014,"C, C++, JavaScript, SQL"
2014,"JavaScript, PHP, MySql"
2014,"C#, SQL, Powershell"
2014,"C#, JavaScript, SQL, VB"
2014,"C#, SQL, VB.net"
2014,"C#, Java, JavaScript, SQL"
2014,"JavaScript, Node.js"
2014,"C#, Java, JavaScript, SQL"
2014,"C#, JavaScript, SQL, JQuery, HTML, XAML"
2014,"C#, JavaScript, SQL"
2014,"C#, SQL, vb"
2014,"C#, SQL"
2014,"C#, JavaScript"
2014,"PHP, SQL"
2014,"C#, Java"
2014,"JavaScript, Python"
2014,"SQL, Crystal"
2014,"C, C++, C#, Java, JavaScript, Python, SQL, Embedded C, HTML, CSS"
2014,"Java, Objective-C"
2014,"C#, JavaScript, Node.js, Python"
2014,"JavaScript, Ruby, SQL"
2014,"C++, Java, JavaScript, PHP, SQL"
2014,"C, C#, JavaScript, Python, SQL, as3"
2014,"Java, JavaScript, SQL"
2014,"C#, Java, SQL"
2014,"Java, R"
2014,"C, Java, JavaScript, AngulaJS"
2014,"Python, Ruby, SQL"
2014,"C, C++, C#, Java"
2014,"JavaScript, Ruby, SQL"
2014,"Java, JavaScript, Node.js, SQL"
2014,"C#, JavaScript, SQL"
2014,"JavaScript, PHP, SQL"
2014,"C, Java, JavaScript, SQL"
2014,"C#, VB.Net"
2014,"JavaScript, PHP"
2014,"C, C++"
2014,"C#, JavaScript, Node.js"
2014,"JavaScript, Node.js, perl"
2014,"C, C++, C#, Java, JavaScript, PHP, Python, SQL"
2014,"Java, JavaScript, Node.js, PHP, Ruby, SQL"
2014,"JavaScript, PHP"
2014,"C++, C#, PHP, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"Java, JavaScript, Objective-C, PHP, SQL"
2014,"C#, JavaScript, SQL, VBScript, JScript"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, PHP"
2014,"Java, Objective-C"
2014,"JavaScript, PHP"
2014,"JavaScript, PHP, SQL"
2014,"C, C++, C#, SQL"
2014,"JavaScript, Python, Ruby, SQL"
2014,"C, C++"
2014,"C++, Java, SQL"
2014,"C, JavaScript, bash"
2014,"JavaScript, SQL, Abap"
2014,"JavaScript, Ruby, SQL"
2014,Objective-C
2014,"Java, JavaScript"
2014,"JavaScript, Node.js, PHP, SQL, Go, MongoDB, Redis, CouchDB, AngularJS, Phonegap"
2014,"JavaScript, PHP, Ruby, SQL"
2014,C
2014,"Java, JavaScript"
2014,"C, C++, Java, JavaScript, PHP"
2014,Not in TEch
2014,"C#, JavaScript, SQL"
2014,Python
2014,"C#, Java"
2014,"C++, PHP, SQL"
2014,"Java, JavaScript"
2014,Java
2014,"C#, Java, JavaScript, SQL"
2014,"Java, JavaScript, Python"
2014,"Objective-C, SQL"
2014,C#
2014,"JavaScript, PHP, CSS, HTML, AMPL"
2014,Python
2014,"C#, JavaScript, SQL"
2014,Python
2014,"Java, PHP, SQL, PL1,Cobol,JCL,REXX"
2014,"JavaScript, Node.js, PHP, SQL"
2014,"JavaScript, PHP, SQL, Perl"
2014,"C, C++, Perl"
2014,"Java, JavaScript, PHP, SQL"
2014,"PHP, Python"
2014,"C, C++, C#, Java, installshield"
2014,"Java, JavaScript"
2014,"JavaScript, PHP"
2014,PHP
2014,"Java, JavaScript, Ruby"
2014,"JavaScript, Node.js"
2014,"C++, C#, Node.js, Haskell"
2014,"C, C++, C#, Java, JavaScript, SQL"
2014,"C#, Java, JavaScript"
2014,"JavaScript, Ruby"
2014,"Java, JavaScript, Python, Perl"
2014,"C, C++, C#"
2014,"C#, JavaScript, SQL"
2014,"Java, JavaScript, SQL"
2014,"C++, Java, JavaScript, PHP, Python, SQL"
2014,"C, JavaScript, PHP, SQL"
2014,"Python, Lua"
2014,"C, SQL"
2014,"C#, JavaScript, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,Python
2014,"C, Java, JavaScript, SQL"
2014,"PHP, SQL"
2014,Java
2014,"JavaScript, Ruby"
2014,"C#, Java, Force.com"
2014,"JavaScript, PHP"
2014,"Java, Python, Ruby, SQL, Scala, Clojure"
2014,"JavaScript, PHP, SQL"
2014,"Objective-C, Python"
2014,"JavaScript, PHP, SQL, PowerShell, zsh"
2014,"PHP, SQL"
2014,"Objective-C, Ruby, Haskell"
2014,"JavaScript, PHP, SQL"
2014,"C, C++, C#, Java, JavaScript, Node.js, Objective-C, PHP, Python, Ruby, SQL"
2014,"SQL, VB.Net"
2014,"C++, C#, Java"
2014,"C++, C#, PHP, SQL"
2014,"Java, Node.js, Python"
2014,"C#, JavaScript, SQL"
2014,"Java, Node.js, Objective-C, PHP"
2014,"C++, Python, MATLAB"
2014,"C, C#, JavaScript, Node.js, Objective-C"
2014,"Clojure, Go"
2014,"C++, Java, Python"
2014,"Java, JavaScript, SQL"
2014,"C, bash"
2014,"C, C++, Python"
2014,Objective-C
2014,"C#, JavaScript, F#"
2014,"C, C++, Java, JavaScript, PHP, SQL"
2014,"JavaScript, Python"
2014,"C#, JavaScript, SQL"
2014,"C++, JavaScript, PHP, Python, SQL"
2014,"JavaScript, PHP, SQL"
2014,"C, C#, JavaScript, Python"
2014,"C, JavaScript, Objective-C, Python, SQL"
2014,"C++, Java"
2014,"C#, JavaScript, SQL"
2014,"JavaScript, SQL, VB"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript"
2014,"Java, JavaScript, Python, SQL"
2014,C#
2014,"C#, SQL"
2014,"C#, JavaScript, SQL"
2014,"JavaScript, Objective-C, Ruby"
2014,"C#, Java, JavaScript, SQL"
2014,"JavaScript, PHP, Python"
2014,"C#, Java, JavaScript, HTML, My own language"
2014,"C, C++, C#, JavaScript, PHP, Ruby"
2014,"C#, JavaScript, SQL, VB.Net"
2014,"C#, Java, JavaScript, SQL"
2014,"Objective-C, Python"
2014,"C, C++, Objective-C"
2014,"C#, JavaScript, SQL, Powershell"
2014,"C#, Java, JavaScript"
2014,"C#, Java, JavaScript, SQL"
2014,"C, C#, Java, PHP, SQL, Assembly"
2014,"JavaScript, Python"
2014,"C#, JavaScript, PHP, Python"
2014,"C#, SQL, F#"
2014,"C#, JavaScript, SQL"
2014,"C#, Java, JavaScript, SQL"
2014,"C++, C#"
2014,"C#, Java, Objective-C"
2014,"C#, Java, SQL"
2014,"C#, Java, JavaScript, Objective-C, SQL"
2014,"C#, Java, JavaScript, SQL"
2014,"C++, JavaScript, PHP, Python, SQL"
2014,"JavaScript, Ruby, SQL"
2014,"C#, JavaScript, SQL"
2014,"C, Objective-C"
2014,"JavaScript, SQL, Salesforce.com"
2014,"C, C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL"
2014,"JavaScript, PHP, SQL"
2014,"C#, JavaScript, SQL, jQuery"
2014,"PHP, SQL, HTML, GML, CSS"
2014,"Java, SQL"
2014,"JavaScript, Python, SQL"
2014,"C#, Java, JavaScript, SQL"
2014,"C, Objective-C, PHP, Python, SQL, bash"
2014,C#
2014,"C++, C#, JavaScript, SQL"
2014,"JavaScript, Node.js, Python"
2014,"JavaScript, Objective-C, PHP, SQL"
2014,"C#, JavaScript, SQL"
2014,"C#, Java, JavaScript, SQL, VBA"
2014,"C#, JavaScript, SQL"
2014,"C#, SQL"
2014,"C#, JavaScript"
2014,"C, C++, JavaScript, PHP, SQL"
2014,"C#, Java, JavaScript, SQL"
2014,"C++, C#"
2014,"C#, Python"
2014,"C, Java, JavaScript, Objective-C, SQL"
2014,"C, C++, JavaScript, Python"
2014,"C#, Java, JavaScript, PHP, Python"
2014,"JavaScript, PHP"
2014,"C, JavaScript, Node.js, CoffeeScript"
2014,"C#, JavaScript, SQL"
2014,"C++, JavaScript, Node.js, Objective-C"
2014,"JavaScript, PHP"
2014,"C++, C#, JavaScript, Python, SQL"
2014,"C++, Java, Python"
2014,"JavaScript, Node.js, Backbone.js"
2014,"JavaScript, PHP"
2014,"C#, SQL"
2014,"C, C++, Java, Python"
2014,"JavaScript, Ruby"
2014,"C#, Java, SQL"
2014,C
2014,"C++, Python"
2014,"C#, JavaScript, SQL, vb"
2014,"JavaScript, Node.js, PHP, Python, Ruby, SQL"
2014,C#
2014,"JavaScript, Python, Ruby, SQL, Perl"
2014,"C, C++, Java, JavaScript, PHP, SQL"
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL, jQuery, ColdFusion"
2014,"C, JavaScript, Python, SQL"
2014,"Java, SQL, Groovy"
2014,"C, C++, Java, Python"
2014,"JavaScript, Node.js"
2014,"C#, JavaScript, Ruby, SQL"
2014,"JavaScript, PHP, Python, Ruby, SQL"
2014,"C++, C#, Objective-C"
2014,"Java, JavaScript, Node.js, Objective-C, SQL"
2014,"C, C++, C#, JavaScript, SQL"
2014,Java
2014,"C#, Java, SQL, Delphi"
2014,"C#, JavaScript, SQL, ILE RPG"
2014,"JavaScript, Node.js, Ruby"
2014,"Java, Python, Ruby, SQL"
2014,"Java, JavaScript, SQL"
2014,"C++, C#, JavaScript, PHP, SQL"
2014,"SQL, VB.Net (nice snark on your part)"
2014,"C++, C#"
2014,"JavaScript, Node.js, PHP, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"C, C++, JavaScript, Python, Ruby"
2014,"C, C++, Objective-C"
2014,"C++, R"
2014,"C#, SQL"
2014,"Java, JavaScript, SQL"
2014,"JavaScript, PHP, SQL"
2014,"JavaScript, Node.js, Python"
2014,"JavaScript, PHP"
2014,"C#, JavaScript, SQL"
2014,"Java, SQL"
2014,C#
2014,"C, C++, C#, Java, JavaScript, SQL"
2014,"C#, JavaScript"
2014,SQL
2014,"C, Java, PHP, Python, Ruby, SQL"
2014,"JavaScript, Python, SQL"
2014,"Java, Python, SQL"
2014,"C#, JavaScript, SQL"
2014,"C#, Java, JavaScript, Ruby, SQL"
2014,"C++, Python"
2014,"C, Java, JavaScript, PHP, SQL"
2014,"C, JavaScript, PHP"
2014,"C#, JavaScript, SQL"
2014,"C, Python"
2014,"Java, PHP, SQL"
2014,"PHP, SQL"
2014,"C, C++, Python"
2014,"C, C++, Python, vhdl"
2014,Python
2014,"C#, JavaScript, SQL"
2014,"C#, JavaScript, SQL"
