Year,Current Lang & Tech
2015,"Java, Scala"
2015,C#
2015,C#
2015,"JavaScript, LAMP, Node.js, PHP, Python, Redis, SQL, lua"
2015,"C#, Go"
2015,"C#, JavaScript, SQL Server"
2015,"Java, JavaScript, LAMP, PHP, SQL"
2015,"Cloud (AWS, GAE, Azure, etc.), JavaScript, MongoDB, Node.js, Python, Redis, Ruby, SQL"
2015,"C#, JavaScript, MongoDB, SQL Server"
2015,"Android, Arduino / Raspberry Pi, AngularJS, C#, PHP, SQL Server, Windows Phone, Xamarin"
2015,"Android, Arduino / Raspberry Pi, iOS, Java, Objective-C"
2015,"C#, PHP, Windows Phone, X++"
2015,"C#, JavaScript, Python, Sharepoint, SQL Server, Wordpress"
2015,"C, Java, Python"
2015,"C#, SQL Server"
2015,"C, C++, C++11, C#, Java, JavaScript, Objective-C, Sharepoint, SQL, SQL Server"
2015,"SQL, SQL Server, vb.net"
2015,"Java, JavaScript"
2015,"C#, SQL"
2015,"JavaScript, LAMP, PHP, SQL, Wordpress"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"C#, CoffeeScript"
2015,"Sharepoint, SQL Server"
2015,"C#, JavaScript, PHP"
2015,"Clojure, JavaScript, MongoDB, PHP, Salesforce, SQL, ClojureScript"
2015,"AngularJS, C#, Cordova, Cloud (AWS, GAE, Azure, etc.), JavaScript, Node.js, SQL, SQL Server"
2015,"JavaScript, PHP, Python, SQL"
2015,"Java, groovy/grails, drools"
2015,"C#, Python, Redis, SQL, SQL Server"
2015,Java
2015,"Java, SQL"
2015,"JavaScript, LAMP, MongoDB, Node.js, PHP, SQL, Symfony2"
2015,"C#, JavaScript, Sharepoint, Windows Phone"
2015,"C#, JavaScript, SQL Server"
2015,"Android, Arduino / Raspberry Pi, AngularJS, Cloud (AWS, GAE, Azure, etc.), Java, JavaScript, MongoDB, Node.js, Python, R"
2015,"C++, C#, iOS, Java, MongoDB, Objective-C, Python, SQL, Swift"
2015,"Java, JavaScript, PHP, SQL, Java EE"
2015,"Android, Java, MongoDB, SQL"
2015,"Java, JavaScript, MongoDB, SQL"
2015,"C#, Java, PHP"
2015,"JavaScript, PHP, yii"
2015,"PHP, Python, SQL"
2015,"AngularJS, C, C++, Cordova, Cloud (AWS, GAE, Azure, etc.), Hadoop, Java, JavaScript, Scala, SQL"
2015,Java
2015,"C, C++, Java, JavaScript, SQL"
2015,"C#, JavaScript, PHP, SQL, SQL Server, Visual Basic, Wordpress"
2015,"C#, SQL Server, ASP .Net MVC, WCF"
2015,"Android, Cordova, iOS, JavaScript, PHP, SQL, SQL Server"
2015,"C, C++, SQL"
2015,"Android, iOS, Python"
2015,"Java, JavaScript"
2015,"Java, SQL, SQL Server"
2015,C#
2015,"Java, JavaScript, PHP, SQL"
2015,"Java, JavaScript"
2015,"Android, C, C#, JavaScript, PHP, Ruby, SQL, SQL Server"
2015,"C#, JavaScript, SQL, SQL Server, Visual Basic"
2015,"AngularJS, Java, JavaScript, MongoDB, SQL"
2015,"iOS, JavaScript, LAMP, MongoDB, Objective-C, PHP, Python"
2015,"JavaScript, LAMP, PHP"
2015,"Java, JavaScript, PHP, SQL, Wordpress"
2015,"C#, JavaScript, Python, SQL, SQL Server"
2015,"Java, JavaScript, SQL"
2015,"AngularJS, C#, Go, JavaScript, MongoDB, Node.js, PHP, Redis, SQL, SQL Server, Visual Basic, Windows Phone"
2015,"Java, JavaScript"
2015,"C#, Javascript"
2015,"LAMP, PHP, SQL"
2015,"C#, Cloud (AWS, GAE, Azure, etc.), SQL, SQL Server"
2015,"Android, C, C++, Java, MongoDB, Perl"
2015,"C#, Cloud (AWS, GAE, Azure, etc.)"
2015,"C#, SQL, SQL Server"
2015,"AngularJS, Cloud (AWS, GAE, Azure, etc.), Java, Node.js, Scala, SQL"
2015,"Java, JavaScript, SQL"
2015,"AngularJS, C#, Java"
2015,Java
2015,"Java, JavaScript, Node.js, Groovy"
2015,"Java, JavaScript, Ruby, Scala, Groovy, AEM, CQ"
2015,"Android, AngularJS, Java, JavaScript, LAMP, PHP, Python, Wordpress"
2015,"Java, JavaScript, PHP, SQL"
2015,"Java, JavaScript, Python"
2015,"C#, Cordova, JavaScript, Node.js"
2015,"C#, JavaScript, Redis, SQL Server"
2015,"Android, Java, JavaScript"
2015,"Java, JavaScript, Ruby"
2015,"JavaScript, LAMP, PHP, SQL, Wordpress"
2015,"JavaScript, PHP"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"AngularJS, C#, JavaScript, SQL, SQL Server"
2015,"C++11, JavaScript, Node.js, Perl, PHP, SQL"
2015,"C#, SQL, SQL Server"
2015,"Java, SQL"
2015,"AngularJS, C#, JavaScript, SQL, SQL Server"
2015,"C, C#, JavaScript, Python, Windows Phone, Wordpress"
2015,"Java, JavaScript, SQL"
2015,"JavaScript, Node.js, PHP"
2015,"C#, Java, JavaScript, Node.js, Python, SQL, SQL Server"
2015,"AngularJS, C#, JavaScript, SQL Server, Visual Basic"
2015,"Android, C#"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"AngularJS, Java, JavaScript"
2015,"Android, Go, Java, Scala, Spark"
2015,"Android, Arduino / Raspberry Pi, AngularJS, C#, Cloud (AWS, GAE, Azure, etc.), JavaScript, Sharepoint, SQL Server"
2015,"AngularJS, C#, Go, JavaScript, Node.js"
2015,"JavaScript, Objective-C, PHP, Ruby, SQL"
2015,"C#, Cloud (AWS, GAE, Azure, etc.), JavaScript, PHP, SQL, SQL Server, EmberJS"
2015,"C++, Java, Python"
2015,"Cloud (AWS, GAE, Azure, etc.), Go, iOS, JavaScript, LAMP, MongoDB, Node.js, Objective-C, Python, Ruby, SQL, XQuery"
2015,"SQL, SQL Server"
2015,"Java, JavaScript, Scala, SQL"
2015,"AngularJS, C#, Cassandra, JavaScript, Node.js, SQL"
2015,"Android, Arduino / Raspberry Pi, C#, Cordova, Cloud (AWS, GAE, Azure, etc.), iOS, Java, JavaScript, LAMP, MongoDB, Node.js, Objective-C, PHP, Redis, SQL, Wordpress"
2015,"AngularJS, C++, C#, Java, JavaScript, LAMP, MongoDB, Ruby, SQL"
2015,"PHP, SQL"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"AngularJS, Cloud (AWS, GAE, Azure, etc.), Java, JavaScript, Scala, SQL"
2015,"Android, LAMP, PHP, SQL"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"Arduino / Raspberry Pi, Cloud (AWS, GAE, Azure, etc.), Hadoop, Java, JavaScript, LAMP, PHP, Redis, Wordpress"
2015,"AngularJS, C#, JavaScript, Node.js, PHP, Ruby, SQL"
2015,"C#, JavaScript, PHP, SQL, SQL Server, Visual Basic"
2015,"JavaScript, PHP"
2015,"Java, JavaScript, Scala"
2015,"Java, JavaScript"
2015,"C#, JavaScript, SQL, SQL Server, Visual Basic"
2015,"C++11, Matlab, Salesforce"
2015,"JavaScript, PHP, SQL"
2015,"LAMP, PHP, SQL, Wordpress"
2015,"Java, PHP, Python"
2015,"AngularJS, C#, Java, JavaScript, MongoDB, Node.js, SQL, SQL Server, Visual Basic"
2015,"Go, iOS, Objective-C, PHP, Python"
2015,"Java, Python"
2015,C
2015,"C++, C#, JavaScript, SQL Server, TypeScript"
2015,Java
2015,"Android, Cloud (AWS, GAE, Azure, etc.), Java, JavaScript, SQL"
2015,"AngularJS, Java, PHP, SQL"
2015,"JavaScript, PHP, Wordpress"
2015,"C#, PHP, SQL, SQL Server, Visual Basic, Powershell"
2015,Java
2015,"C#, JavaScript, asp.net mvc"
2015,"Java, JavaScript, SQL"
2015,"Java, JavaScript, SQL, SQL Server"
2015,"Java, JavaScript, SQL"
2015,"Android, AngularJS, Java, JavaScript, Node.js, PHP, Scala, SQL, SQL Server"
2015,"AngularJS, Cassandra, CoffeeScript, Go, JavaScript, MongoDB, Node.js, PHP, Python, Redis, Ruby, SQL"
2015,"Android, AngularJS, CoffeeScript, Java, JavaScript, MongoDB, Node.js, Python"
2015,"Android, Cloud (AWS, GAE, Azure, etc.), Java, Scala"
2015,"AngularJS, C#, JavaScript, SQL"
2015,"JavaScript, SQL Server, Visual Basic"
2015,"JavaScript, PHP, SQL"
2015,"Java, SQL"
2015,"CoffeeScript, Java, JavaScript, Python, R, Redis, Ruby, SQL"
2015,Java
2015,"C#, JavaScript, SQL"
2015,"C#, SQL Server"
2015,"Arduino / Raspberry Pi, Dart, JavaScript, Python, SQL"
2015,"Cloud (AWS, GAE, Azure, etc.), Java, JavaScript, SQL Server, Delphi"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"C#, F#, Ruby"
2015,"Java, SQL"
2015,"Android, Arduino / Raspberry Pi, C, iOS, Java, JavaScript, MongoDB, Node.js, Objective-C, Ruby, SQL"
2015,"Android, AngularJS, Hadoop, Java, Ruby, Spark"
2015,"Cassandra, Cloud (AWS, GAE, Azure, etc.), Java, Redis, Ruby, Scala, SQL"
2015,"JavaScript, LAMP, MongoDB, Node.js, PHP, SQL, Wordpress"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"Arduino / Raspberry Pi, Cloud (AWS, GAE, Azure, etc.), Java, JavaScript, PHP, Ruby, SQL Server"
2015,"iOS, Objective-C, Ruby, SQL, Swift, Rails"
2015,"AngularJS, C#, JavaScript, MongoDB, Node.js, SQL, SQL Server"
2015,"Android, Cloud (AWS, GAE, Azure, etc.), Java, JavaScript, Ruby, SQL"
2015,
2015,C
2015,"Android, C#, Java, Python, SQL, Visual Basic"
2015,"Android, iOS, Java, JavaScript, LAMP, MongoDB, Node.js, PHP, SQL, Wordpress"
2015,C#
2015,"Java, JavaScript, SQL"
2015,"C, Java, SQL"
2015,"AngularJS, Java, JavaScript, SQL"
2015,"C, Java, Perl"
2015,"Go, Hadoop, Java, Ruby"
2015,"Java, JavaScript"
2015,"C++, C#, iOS, Objective-C, SQL"
2015,"C++, C++11, Java, JavaScript, PHP, Python, SQL, Visual Basic"
2015,"Android, AngularJS, Cloud (AWS, GAE, Azure, etc.), iOS, Java, JavaScript, LAMP, Python, SQL"
2015,"PHP, SQL"
2015,"PHP, SQL"
2015,Java
2015,"Java, JavaScript, PHP, SQL"
2015,"LAMP, PHP, SQL"
2015,"JavaScript, PHP, Wordpress"
2015,"Android, JavaScript, PHP"
2015,"C, C++, C++11, Go, JavaScript, Python, SQL"
2015,"C++, Python"
2015,"LAMP, PHP, Python, SQL, Wordpress"
2015,"PHP, SQL"
2015,"C#, JavaScript, SQL, SQL Server"
2015,"AngularJS, JavaScript, LAMP, PHP, SQL"
2015,"Java, JavaScript, SQL"
2015,"JavaScript, MongoDB, Node.js, PHP, Redis, SQL"
2015,"JavaScript, PHP"
2015,"C#, Java, JavaScript, Windows Phone"
2015,"JavaScript, PHP, SQL Server"
2015,"C#, Cloud (AWS, GAE, Azure, etc.), SQL, SQL Server"
