Year,tech_do
2016,
2016,iOS; Objective-C
2016,
2016,
2016,
2016,
2016,"Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Visual Basic; Windows Phone; WordPress"
2016,JavaScript; PHP; SQL; WordPress
2016,
2016,PHP
2016,Arduino / Raspberry Pi; C; C++; Java; JavaScript; LAMP; PHP; SQL
2016,Android; Cordova; MongoDB; PHP; SQL; WordPress
2016,C#; Dart; Java; JavaScript; LAMP; PHP; SQL; SQL Server; Visual Basic; WordPress
2016,Java; JavaScript; LAMP; PHP; SQL; SQL Server
2016,"Android; C++; C#; Cloud (AWS, GAE, Azure, etc.); Python; SQL Server"
2016,
2016,SQL
2016,Ruby
2016,
2016,C; C++; JavaScript; PHP; Python
2016,C; C#; PHP; SQL
2016,LAMP; PHP; SQL
2016,JavaScript
2016,Java; PHP; WordPress
2016,C; Java
2016,
2016,
2016,
2016,AngularJS; JavaScript; Spark
2016,
2016,
2016,PHP
2016,C#; Visual Basic
2016,"AngularJS; C; C++; Cloud (AWS, GAE, Azure, etc.); Go; Haskell; JavaScript; MongoDB; Node.js; PHP; Python; Redis; SQL"
2016,JavaScript; Python; Redis; Ruby; SQL
2016,C#; Java; JavaScript
2016,JavaScript; ReactJS; Ruby
2016,C#; JavaScript; LAMP; PHP; SQL Server; Visual Basic; WordPress
2016,JavaScript; LAMP; PHP; SQL
2016,AngularJS; Java; JavaScript; LAMP; Node.js; PHP; SQL; SQL Server
2016,Java; SQL
2016,Java; JavaScript; PHP; SQL; SQL Server; WordPress
2016,JavaScript; MongoDB; Ruby
2016,
2016,C; C++; Python
2016,"C; C++; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Objective-C; PHP; SQL; Visual Basic"
2016,JavaScript; PHP
2016,Android; AngularJS; JavaScript; MongoDB; Node.js; WordPress
2016,Java; SQL
2016,Android; C#; Visual Basic
2016,Java; JavaScript; Node.js; SQL
2016,Android; JavaScript; PHP; SQL; SQL Server
2016,C#
2016,Android; iOS
2016,
2016,Arduino / Raspberry Pi; C; Go; iOS; Java; MongoDB; Node.js; Objective-C; Python; Redis; Ruby; SQL; SQL Server; Swift
2016,Java; MongoDB; Perl; SQL
2016,C#; JavaScript; Node.js; SQL Server
2016,
2016,C#; PHP; SQL
2016,C#; JavaScript; SQL; SQL Server
2016,Arduino / Raspberry Pi; C++; Java
2016,JavaScript; Python
2016,
2016,C#; Java; JavaScript; SQL; SQL Server
2016,Android; Arduino / Raspberry Pi; Java; Python; SQL
2016,JavaScript; SQL
2016,Android; Java
2016,JavaScript; PHP; Python
2016,C#; JavaScript; PHP; SQL; SQL Server; WordPress
2016,"C++; Cassandra; Cloud (AWS, GAE, Azure, etc.); MongoDB; PHP; Python; Redis"
2016,Arduino / Raspberry Pi; AngularJS; Java; Python
2016,"Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; PHP; Salesforce; SQL; SQL Server; WordPress"
2016,AngularJS; Cordova; JavaScript; PHP; SQL; WordPress
2016,AngularJS; Java; JavaScript; PHP; SQL
2016,Android; AngularJS; Cordova; Java; JavaScript; Node.js; SQL
2016,JavaScript; PHP; SQL
2016,C++; Python
2016,Python
2016,AngularJS; JavaScript; Python; SQL
2016,C#
2016,"AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; LAMP; PHP; SQL; WordPress"
2016,JavaScript; PHP; WordPress
2016,
2016,C; Java; JavaScript; MongoDB; Redis; SQL; SQL Server
2016,Java; Python; SQL
2016,JavaScript; PHP
2016,C#; SQL Server
2016,Android; Java; Python; SQL
2016,
2016,
2016,C++; C#; WordPress
2016,Android; C#; iOS; Perl; PHP; SQL
2016,Java; SQL
2016,Java; MongoDB; SQL
2016,Java; SQL; SQL Server
2016,C#; JavaScript; SQL Server
2016,Android; Java; PHP; SQL
2016,C#; JavaScript; SQL; SQL Server
2016,Perl; Ruby
2016,JavaScript; LAMP; PHP; SQL; WordPress
2016,JavaScript; SQL
2016,Android; Java; SQL
2016,Java; JavaScript; MongoDB; Node.js; Scala; SQL
2016,JavaScript; PHP; Ruby
2016,JavaScript; PHP; SQL
2016,"C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; SQL Server"
2016,AngularJS; JavaScript; Python; SQL
2016,C; C++; iOS; Objective-C; Swift
2016,C; JavaScript; LAMP; Node.js; Perl; PHP; Python; SQL; WordPress
2016,C++; JavaScript; LAMP; PHP; WordPress
2016,
2016,C#; JavaScript; ReactJS; SQL; SQL Server
2016,Java; PHP; SQL; SQL Server; Visual Basic
2016,C#; Java; JavaScript; PHP; SQL
2016,Android; C#; JavaScript; LAMP; PHP; SQL; SQL Server; WordPress
2016,iOS; Objective-C; Swift
2016,AngularJS; C; CoffeeScript; MongoDB; Node.js; Python
2016,JavaScript; MongoDB; Node.js; ReactJS; Redis; Ruby
2016,Android
2016,C#; JavaScript; SQL; Windows Phone
2016,Haskell; JavaScript; LAMP; MongoDB; Node.js; PHP; Redis; SQL
2016,JavaScript; LAMP; PHP
2016,Cassandra; Hadoop; Java; JavaScript; MongoDB; SQL; SQL Server
2016,JavaScript; PHP
2016,"C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; SharePoint; SQL; SQL Server"
2016,"Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; PHP; Python; SQL"
2016,JavaScript; MongoDB; Node.js
2016,Java; JavaScript; LAMP; Perl; PHP; Python; SQL; SQL Server; WordPress
2016,C; Python
2016,
2016,Java; JavaScript; SQL
2016,Haskell; Python
2016,AngularJS; JavaScript; LAMP; Node.js; PHP; SQL
2016,AngularJS; Go; JavaScript; PHP; Redis
2016,AngularJS; Node.js; PHP; Python; SQL
2016,AngularJS; JavaScript; Perl; PHP; SQL; SQL Server
2016,iOS; Objective-C
2016,C#; SQL Server
2016,
2016,JavaScript
2016,Android; iOS; Java; Objective-C; Swift
2016,
2016,"Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; PHP; SQL; WordPress"
2016,
2016,Java; SQL
2016,JavaScript; PHP; Python; SQL
2016,Android; AngularJS; C++; C#; Cordova; JavaScript; LAMP; Node.js; PHP; SQL; SQL Server; Visual Basic
2016,CoffeeScript; JavaScript; Ruby
2016,
2016,C; C++
2016,C; Java; SQL
2016,Java; JavaScript; SQL
2016,JavaScript; Python
2016,JavaScript; LAMP; PHP; SQL Server; WordPress
2016,AngularJS; C++; C#; JavaScript; PHP; Ruby; SQL
2016,SQL
2016,PHP; SQL; WordPress
2016,
2016,
2016,JavaScript; LAMP; PHP; Python; SQL; WordPress
2016,Java; JavaScript; Ruby; SQL; Visual Basic
2016,JavaScript; LAMP; PHP; SQL
2016,Android; AngularJS; Java; JavaScript; MongoDB; SQL
2016,JavaScript; Node.js; Python; R
2016,AngularJS; JavaScript; Windows Phone
2016,"Cloud (AWS, GAE, Azure, etc.); JavaScript; PHP; WordPress"
2016,Java
2016,
2016,
2016,Android; Arduino / Raspberry Pi; AngularJS; Java; JavaScript; Salesforce; Scala
2016,"C#; Cloud (AWS, GAE, Azure, etc.); Hadoop; JavaScript; Node.js; Redis; Spark; SQL; SQL Server; Windows Phone"
2016,PHP; SQL Server
2016,
2016,Android; Arduino / Raspberry Pi; AngularJS; C++; C#; Cordova; JavaScript; Node.js; PHP; SQL; SQL Server
2016,AngularJS; JavaScript; LAMP; PHP
2016,Arduino / Raspberry Pi; C; C++; C#; PHP; SQL; Visual Basic
2016,Python
2016,Dart; Go; Java; Python; R; Scala
2016,
2016,Android; Java
2016,AngularJS; Clojure; JavaScript; Node.js; Redis; Ruby
2016,
2016,Android; Python; R
2016,C++; C#; JavaScript; SQL
2016,AngularJS; JavaScript; Redis; Ruby
2016,C#; SQL
2016,C#; JavaScript; SQL; SQL Server
2016,C#; JavaScript; SQL; SQL Server
2016,Android; C#; Java; PHP
2016,Android; Arduino / Raspberry Pi; JavaScript; Node.js; SQL
2016,"Android; AngularJS; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; LAMP; Node.js; Objective-C; PHP; Ruby; SQL; WordPress"
2016,
2016,Android; AngularJS; C#; Cordova; iOS; JavaScript; LAMP; MongoDB; Node.js; SQL; SQL Server; WordPress
2016,SQL
2016,Arduino / Raspberry Pi; JavaScript; PHP; Ruby; SQL; SQL Server
2016,AngularJS; JavaScript; Ruby
2016,Arduino / Raspberry Pi; C++; C#; Java; Perl; PHP; Python; R; Ruby; SQL; Visual Basic
2016,"Android; C++; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; PHP; Python; SQL"
2016,AngularJS; C++; JavaScript; MongoDB; Node.js; PHP; SQL; Visual Basic
2016,CoffeeScript; iOS; JavaScript; Objective-C; Perl; PHP; Python; Ruby; SQL; Visual Basic
2016,JavaScript; PHP; SQL; SQL Server; WordPress
2016,AngularJS; JavaScript; PHP; Redis; Ruby; SQL; WordPress
2016,C#; Java; SQL
2016,"Android; AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; SQL; SQL Server"
2016,JavaScript; Node.js; Perl; Python; SQL
2016,"Android; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; PHP; R"
2016,Android; Arduino / Raspberry Pi; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; SQL; Swift; WordPress
2016,AngularJS; C; C++; JavaScript; LAMP; Node.js; PHP; SQL
2016,
2016,"AngularJS; Cloud (AWS, GAE, Azure, etc.); Java; Node.js"
2016,Java; JavaScript
2016,
2016,JavaScript; MongoDB; Node.js; ReactJS; Ruby
2016,
2016,C++; Java; SQL Server
2016,JavaScript; PHP; SQL; WordPress
2016,Cassandra; Java; SQL
2016,JavaScript; Node.js; R; SQL
2016,AngularJS; JavaScript; LAMP; PHP; Redis; SQL
2016,"C#; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); JavaScript; Ruby; SQL; SQL Server"
2016,
2016,Go; iOS; Ruby; SQL; Swift
2016,C++
2016,
2016,C; C++; Python; R
2016,C; C++; C#; CoffeeScript; JavaScript; Node.js; Rust
2016,
2016,"AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; SQL; SQL Server"
2016,"Cloud (AWS, GAE, Azure, etc.); Go; SQL"
2016,C#; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; Ruby; WordPress
2016,C#; Cordova; Java; Python; SQL; SQL Server
2016,Android; C; C++; Java; Python
2016,"Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; Node.js; PHP; SQL"
2016,C; C++; C#; Java; JavaScript; SQL; SQL Server; WordPress
2016,C++; C#
2016,JavaScript; Ruby; SQL
2016,JavaScript; PHP; SQL
2016,
2016,Android; C#; Java; SQL; SQL Server
2016,"Android; AngularJS; C; C++; Cloud (AWS, GAE, Azure, etc.); Haskell; Java; JavaScript; Node.js; Scala; SQL; SQL Server"
2016,R; Ruby; SQL; SQL Server; Visual Basic
2016,Android; C#; Java; Node.js
2016,
2016,Android; Java; PHP; WordPress
2016,Android; Java; Matlab; SQL; SQL Server
