Year,HaveWorkedLanguage,HaveWorkedFramework,HaveWorkedDatabase,HaveWorkedPlatform
2017,Swift,,,iOS
2017,JavaScript; Python; Ruby; SQL,.NET Core,MySQL; SQLite,Amazon Web Services (AWS)
2017,Java; PHP; Python,,MySQL,
2017,Matlab; Python; R; SQL,React,MongoDB; Redis; SQL Server; MySQL; SQLite,Windows Desktop; Linux Desktop; Mac OS; Amazon Web Services (AWS)
2017,,,,
2017,JavaScript; PHP; Rust,,MySQL,Linux Desktop; Amazon Web Services (AWS)
2017,Matlab; Python,,SQLite,Windows Desktop
2017,CoffeeScript; Clojure; Elixir; Erlang; Haskell; JavaScript; Python; Ruby,React,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,C#; JavaScript,AngularJS; Node.js; .NET Core,SQL Server,Android; Microsoft Azure
2017,Objective-C; Swift,,PostgreSQL,iOS; Amazon Web Services (AWS)
2017,R; SQL,,SQL Server,
2017,,,,
2017,C; C++; Java,,,
2017,Java; JavaScript; Ruby; SQL,React,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,Assembly; C; C++,,,Mac OS
2017,JavaScript; VB.NET,,,Windows Desktop
2017,JavaScript,AngularJS; Node.js; React; Cordova,,Amazon Web Services (AWS)
2017,C; Clojure; JavaScript; Matlab; Rust; SQL; Swift,React,MySQL; PostgreSQL; Oracle,Linux Desktop; Amazon Web Services (AWS)
2017,,,,
2017,Perl; Python,,MySQL,
2017,,,,
2017,C#; JavaScript; SQL,AngularJS,SQL Server,Windows Phone; Windows Desktop; Raspberry Pi; Microsoft Azure
2017,Java,Hadoop; Spark,Cassandra; MySQL,
2017,PHP; SQL,,MySQL,Windows Desktop; WordPress
2017,,,,
2017,Java; Scala,Spark,MySQL,
2017,Java; JavaScript; Objective-C; Python; Swift,Hadoop; Node.js,MongoDB; MySQL,
2017,,,,
2017,JavaScript; Python,Node.js,,Mac OS; Arduino; Serverless; Amazon Web Services (AWS)
2017,,,,
2017,,,,
2017,,,,
2017,C#; Java,,,Windows Desktop; Linux Desktop
2017,JavaScript,Node.js; React; Firebase,MongoDB,
2017,Assembly; C,,MySQL,
2017,C#; JavaScript; Matlab; Python; R,AngularJS; .NET Core,Cassandra; MongoDB; Redis; SQL Server; PostgreSQL,Raspberry Pi; SharePoint; WordPress; Amazon Web Services (AWS); Microsoft Azure
