Year,HaveWorkedLanguage,HaveWorkedFramework,HaveWorkedDatabase,HaveWorkedPlatform
2017,JavaScript; Python; Ruby; SQL,.NET Core,MySQL; SQLite,Amazon Web Services (AWS)
2017,Matlab; Python; R; SQL,React,MongoDB; Redis; SQL Server; MySQL; SQLite,Windows Desktop; Linux Desktop; Mac OS; Amazon Web Services (AWS)
2017,CoffeeScript; Clojure; Elixir; Erlang; Haskell; JavaScript; Python; Ruby,React,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,C#; JavaScript,AngularJS; Node.js; .NET Core,SQL Server,Android; Microsoft Azure
2017,Java; JavaScript; Ruby; SQL,React,Redis; MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,C; Clojure; JavaScript; Matlab; Rust; SQL; Swift,React,MySQL; PostgreSQL; Oracle,Linux Desktop; Amazon Web Services (AWS)
2017,C#; JavaScript; SQL,AngularJS,SQL Server,Windows Phone; Windows Desktop; Raspberry Pi; Microsoft Azure
2017,C#; JavaScript; Matlab; Python; R,AngularJS; .NET Core,Cassandra; MongoDB; Redis; SQL Server; PostgreSQL,Raspberry Pi; SharePoint; WordPress; Amazon Web Services (AWS); Microsoft Azure
2017,C#; F#; JavaScript; SQL,AngularJS,SQL Server,Windows Desktop; Microsoft Azure
2017,C#; Java; JavaScript,Node.js; .NET Core,SQL Server; SQLite,Android
2017,C#; JavaScript; SQL; TypeScript,Node.js,SQL Server; SQLite,Windows Desktop; Microsoft Azure
2017,C++; C#; Java; JavaScript; Lua; SQL,Cordova; Xamarin; .NET Core,SQL Server; MySQL; Oracle,Android; Windows Phone; Windows Desktop; Amazon Web Services (AWS); Microsoft Azure
2017,JavaScript; Ruby,Node.js; React,MongoDB; Redis; MySQL; PostgreSQL; SQLite,Linux Desktop; Mac OS; Serverless
2017,C#; Java; SQL,Xamarin,MongoDB; SQL Server; Oracle,Android; Windows Phone; SharePoint; Microsoft Azure
2017,Assembly; C++; Groovy; Java; Perl; SQL,Hadoop,MongoDB; PostgreSQL; Oracle; SQLite,Android; Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,Java; JavaScript; PHP; Ruby,AngularJS; Node.js,Redis; MySQL,Linux Desktop
2017,Java; JavaScript; PHP,AngularJS; Node.js; Cordova,MongoDB; Redis; MySQL; SQLite,Android
2017,C#; JavaScript; SQL,AngularJS; Node.js; Firebase; .NET Core,SQL Server,Amazon Web Services (AWS)
2017,C++; C#; Java; JavaScript; Python; Ruby; SQL; Swift; VBA,.NET Core,MongoDB; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Linux Desktop; Amazon Web Services (AWS)
2017,C; C++; C#; Java; JavaScript; Matlab; SQL,.NET Core,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Windows Desktop; Microsoft Azure
2017,JavaScript,AngularJS; Node.js; React,MongoDB; Redis; MySQL,Mac OS; Amazon Web Services (AWS)
2017,CoffeeScript; JavaScript; Ruby; SQL,Node.js; React,Redis; PostgreSQL,Amazon Web Services (AWS); Microsoft Azure
2017,C#; JavaScript; SQL,Node.js; React; Spark; Xamarin,Cassandra,Microsoft Azure
2017,Elixir; Java; JavaScript; SQL,AngularJS,PostgreSQL; SQLite,Linux Desktop; Mac OS; WordPress; Amazon Web Services (AWS)
2017,C++; C#; JavaScript; SQL,AngularJS; Node.js; .NET Core,SQL Server,Windows Phone; Windows Desktop; Microsoft Azure
2017,C; C++; Java; JavaScript,AngularJS; Hadoop; Node.js; React,MySQL,Linux Desktop; Mac OS; Raspberry Pi; Amazon Web Services (AWS)
2017,Java; PHP; Python; Ruby; SQL,Node.js; .NET Core,PostgreSQL,Android; Amazon Web Services (AWS)
2017,CoffeeScript; Haskell; JavaScript; Python; SQL,Node.js; Cordova,MongoDB; Redis; PostgreSQL,Windows Desktop; Linux Desktop; Amazon Web Services (AWS)
2017,C#; JavaScript; SQL; VB.NET; Visual Basic 6,AngularJS; Node.js,SQL Server,Windows Desktop; SharePoint
2017,C; C#; Common Lisp; Clojure; Java; JavaScript; PHP; Python; SQL,React,SQLite,Windows Desktop; Mac OS; WordPress; Amazon Web Services (AWS)
2017,C#; Go; SQL,Firebase,SQL Server; SQLite,Windows Desktop; Amazon Web Services (AWS); Microsoft Azure
2017,C#,Xamarin,SQLite,Windows Phone; Microsoft Azure
2017,C#,Xamarin; .NET Core,MySQL,Windows Phone; Windows Desktop; Microsoft Azure
2017,VB.NET,.NET Core,MySQL,Windows Desktop
2017,C#; Java; JavaScript; Python; SQL; TypeScript,AngularJS; Node.js; React; Cordova; Xamarin; Firebase; .NET Core,MongoDB; Redis; SQL Server; MySQL; SQLite,Android; Salesforce; Amazon Web Services (AWS); Microsoft Azure
2017,Java; JavaScript; Lua; PHP; R; SQL,React; Spark,PostgreSQL,Windows Desktop; Arduino; Mainframe
2017,C#; JavaScript; Matlab; PHP; SQL,Firebase,SQL Server; MySQL; SQLite,Windows Phone; Amazon Web Services (AWS)
2017,C++; Java; JavaScript; Matlab; Objective-C; Python; SQL,AngularJS; Hadoop; Cordova; Firebase,Cassandra; Redis; MySQL,Amazon Web Services (AWS)
2017,C#; JavaScript; SQL; TypeScript,AngularJS; .NET Core,SQL Server,Serverless; Salesforce
2017,C; C#; JavaScript,.NET Core,MySQL,Windows Desktop
2017,C++; C#; F#; Haskell; Python; SQL,Hadoop; .NET Core,SQL Server,Windows Desktop; Arduino; Raspberry Pi
2017,C#; Java; JavaScript; Python; Scala; SQL; VBA,AngularJS; Hadoop; Node.js; Spark; .NET Core,Redis; SQL Server,Amazon Web Services (AWS); Microsoft Azure
2017,C; C++; C#; F#; Haskell; Java; Swift,Xamarin,SQL Server; SQLite,iOS; Serverless; Amazon Web Services (AWS); Microsoft Azure
2017,Java; JavaScript; Perl; SQL,Node.js,MySQL; SQLite,Android
2017,Java; JavaScript; TypeScript,AngularJS,MySQL,iOS; Mac OS
2017,JavaScript; Python,Node.js; React; Firebase,PostgreSQL,Amazon Web Services (AWS)
2017,C#; Java; JavaScript; Python; Scala; SQL; TypeScript,AngularJS; Hadoop; Node.js; React; Spark,MongoDB; SQL Server; MySQL,Amazon Web Services (AWS); Microsoft Azure
2017,JavaScript; PHP; SQL,Node.js; React,Redis; MySQL; PostgreSQL,Windows Desktop; Linux Desktop
2017,Go; JavaScript; SQL,AngularJS; React,SQL Server,Amazon Web Services (AWS); Microsoft Azure
2017,Elixir; Java; JavaScript; PHP; SQL,Node.js,MongoDB; Redis; MySQL; PostgreSQL; SQLite,Linux Desktop; Mac OS; Raspberry Pi; Amazon Web Services (AWS)
2017,C; C#; JavaScript; Python; SQL,Node.js; React,SQL Server,Microsoft Azure
2017,C#; Objective-C; Swift,.NET Core,SQL Server; Oracle,iOS
2017,C#; Java; JavaScript; PHP; Ruby; SQL; Swift,AngularJS; Node.js; Cordova; Xamarin; .NET Core,Redis; MySQL; PostgreSQL; SQLite,Android; iOS; Windows Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,C; Java; JavaScript; PHP; Python,AngularJS,MySQL,Windows Desktop; Linux Desktop; Arduino; Raspberry Pi
2017,JavaScript; Python,Node.js; React; Firebase,Redis,Android; iOS; Mac OS; Arduino; Raspberry Pi
2017,JavaScript; TypeScript,Node.js; React,Redis; MySQL; PostgreSQL,iOS; Mac OS
2017,JavaScript,AngularJS; Node.js; Cordova,MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,CoffeeScript; JavaScript; PHP; SQL,Node.js,MongoDB; Redis; MySQL; PostgreSQL,WordPress
2017,C#; F#; Go; JavaScript; Scala; SQL; VBA,AngularJS; .NET Core,MongoDB; SQL Server; MySQL,Amazon Web Services (AWS)
2017,Java; JavaScript; Python; SQL,AngularJS; Cordova,PostgreSQL,Android; Raspberry Pi; Amazon Web Services (AWS)
2017,Groovy; Java; JavaScript; SQL,AngularJS,MongoDB; MySQL,Linux Desktop; Mac OS; Amazon Web Services (AWS)
2017,C#; Java; JavaScript; Perl; Python; SQL,Node.js,SQL Server; MySQL; SQLite,Windows Desktop
2017,C#; JavaScript; SQL,AngularJS,SQL Server; MySQL; SQLite,Windows Phone; Windows Desktop; SharePoint; Microsoft Azure
2017,Go; JavaScript; Python; Ruby,React,MongoDB; Redis,Linux Desktop
2017,C#; SQL,.NET Core,SQL Server; SQLite,Amazon Web Services (AWS); Microsoft Azure
2017,C#; JavaScript; SQL; VBA,AngularJS; Node.js,MongoDB; SQL Server; SQLite,Android; Windows Desktop
2017,C#,Xamarin,MySQL,Android
2017,C#; Java; SQL,.NET Core,SQL Server,Android; Microsoft Azure
2017,C#; Java; JavaScript; SQL,AngularJS; Node.js; Cordova; Xamarin; Firebase,MongoDB; SQL Server; MySQL,Android; iOS; Mac OS; SharePoint; Microsoft Azure
2017,Java; JavaScript; Python; Scala; Swift,React; Spark,Cassandra; Redis; PostgreSQL,Android; iOS; Windows Desktop; Mac OS; Amazon Web Services (AWS)
2017,Go; Java; JavaScript; Python; Ruby; Rust; SQL; TypeScript,AngularJS; Node.js; React; Firebase,MySQL; PostgreSQL,Windows Desktop; Linux Desktop; Mac OS; Raspberry Pi
2017,C#; Dart; JavaScript,Node.js; .NET Core,PostgreSQL,Windows Desktop
2017,Assembly; C; C++; Common Lisp; Java; JavaScript; Perl; Python; SQL,React; Firebase,SQLite,Android; Linux Desktop; Arduino
2017,Assembly; C; C++; JavaScript,AngularJS; Node.js,MongoDB; MySQL; PostgreSQL,Android; iOS; Linux Desktop; Raspberry Pi
2017,Assembly; C; C++; C#; SQL; Swift,.NET Core,MySQL; PostgreSQL; SQLite,Windows Desktop; Linux Desktop; Arduino
2017,C#; JavaScript; SQL; VBA,React; Firebase; .NET Core,SQL Server,Windows Desktop; Microsoft Azure
2017,Java; JavaScript; Perl; SQL,AngularJS; Node.js,MongoDB; PostgreSQL,Mac OS
2017,C; C++; C#; CoffeeScript; Haskell; JavaScript; Python; Ruby; Rust; SQL; TypeScript,AngularJS; Node.js; React; .NET Core,MySQL; PostgreSQL; SQLite,Windows Desktop; Linux Desktop
2017,Assembly; C; C++; C#; Go; Java; JavaScript; Lua; Python; Rust,Node.js; Xamarin,SQLite,Android; iOS; Linux Desktop; Serverless; Amazon Web Services (AWS)
2017,C#; JavaScript,React; .NET Core,Redis; SQL Server; MySQL; PostgreSQL,Amazon Web Services (AWS)
2017,C#; SQL,.NET Core,SQL Server,Windows Desktop
2017,C#; JavaScript; SQL,Node.js; React,Redis; SQL Server,Amazon Web Services (AWS)
2017,Assembly; Java; JavaScript; PHP; SQL,AngularJS; Node.js; React; Cordova; Firebase,MySQL,Android; Windows Desktop; Linux Desktop; Mac OS; Raspberry Pi; Serverless; WordPress; Amazon Web Services (AWS)
2017,Java; JavaScript; PHP; Python,Node.js; React; Cordova,MongoDB; MySQL; Oracle,Android; Linux Desktop; WordPress; Amazon Web Services (AWS)
2017,C#; Java; JavaScript; SQL,AngularJS; Node.js,SQL Server,Amazon Web Services (AWS)
2017,C#; CoffeeScript; JavaScript; PHP; SQL; TypeScript,Node.js; React; Xamarin; Firebase,MySQL,Android; Linux Desktop
2017,Assembly; C; C++; C#; Java; Matlab; Python,.NET Core,SQL Server; SQLite,Android; Windows Desktop
2017,JavaScript; PHP,Node.js,MySQL,Windows Desktop; WordPress
2017,C#; JavaScript; SQL,AngularJS,SQL Server; SQLite,iOS; Microsoft Azure
2017,C#; JavaScript; PHP; SQL; TypeScript; VB.NET,AngularJS; Node.js; Xamarin; .NET Core,SQL Server,Windows Desktop; Amazon Web Services (AWS); Microsoft Azure
2017,C#; Java; JavaScript; Objective-C; SQL,Node.js; Xamarin,MongoDB; MySQL; SQLite,iOS; Arduino
2017,C#; Go; JavaScript; Lua; SQL; TypeScript,AngularJS; Node.js; React,Redis; SQL Server; PostgreSQL; SQLite,Linux Desktop; Mac OS; Arduino; Raspberry Pi
2017,C++; C#,Xamarin; .NET Core,SQL Server,Android; Windows Phone; Windows Desktop
2017,Java; JavaScript; SQL,AngularJS; Node.js,MongoDB; SQL Server; PostgreSQL,Android; WordPress; Amazon Web Services (AWS)
2017,C++; Java; Python,Firebase,SQLite,Android
2017,Java; JavaScript; SQL,Node.js,MySQL; SQLite,Android
2017,C; C#; Groovy; Java; JavaScript; Ruby; Scala; SQL; TypeScript; VBA,Hadoop; .NET Core,Redis; SQL Server; Oracle,Android; iOS; Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
2017,Java; Python; R; SQL,AngularJS; Node.js,MongoDB; Redis; MySQL,Windows Desktop; Linux Desktop; Raspberry Pi; Amazon Web Services (AWS)
