Year,Language,Count
2021,Git,24400
2021,Visual Studio Code,21453
2021,JavaScript,20843
2021,HTML/CSS,17635
2021,SQL,15969
2021,Docker,15127
2021,Python,14306
2021,AWS,13911
2021,MySQL,13853
2021,Node.js,12897
2021,Visual Studio,12455
2021,PostgreSQL,12051
2021,C#,12028
2021,React.js,12002
2021,TypeScript,11846
2021,Microsoft Azure,10773
2021,Microsoft SQL Server,10240
2021,SQLite,10235
2021,Java,10005
2021,jQuery,9755
2021,MongoDB,9704
2021,NET Core / .NET 5,9565
2021,NET Framework,9269
2021,Notepad++,9197
2021,Google Cloud Platform,8874
2021,Android Studio,8701
2021,IntelliJ,8355
2021,NumPy,8194
2021,ASP.NET Core,8075
2021,Bash/Shell,7829
2021,Express,7610
2021,Angular,7450
2021,Pandas,7355
2021,Heroku,7086
2021,PHP,6943
2021,Redis,6938
2021,Vim,6789
2021,C++,6724
2021,ASP.NET,6543
2021,PyCharm,6436
2021,Sublime Text,6304
2021,Firebase,6245
2021,Yarn,6235
2021,C,5850
2021,Flask,5777
2021,Kubernetes,5699
2021,Vue.js,5473
2021,React Native,5443
2021,DigitalOcean,5019
2021,MariaDB,4981
2021,Django,4929
2021,IPython/Jupyter,4801
2021,Eclipse,4777
2021,PowerShell,4708
2021,TensorFlow,4582
2021,Elasticsearch,4426
2021,Xcode,4397
2021,Flutter,4248
2021,Atom,4092
2021,Angular.js,3987
2021,Oracle,3614
2021,Spring,3454
2021,Go,3287
2021,Unity 3D,3155
2021,Webstorm,3135
2021,Dart,3016
2021,Laravel,2816
2021,DynamoDB,2772
2021,Keras,2732
2021,Kotlin,2681
2021,Torch/PyTorch,2647
2021,NetBeans,2594
2021,Terraform,2561
2021,Cordova,2557
2021,PHPStorm,2404
2021,Ansible,2140
2021,Qt,2079
2021,Rider,2048
2021,Ruby,1947
2021,Xamarin,1911
2021,Rust,1865
2021,Apache Spark,1781
2021,Swift,1714
2021,Assembly,1677
2021,Ruby on Rails,1676
2021,R,1598
2021,VBA,1586
2021,FastAPI,1533
2021,Matlab,1438
2021,Hadoop,1374
2021,Neovim,1358
2021,Gatsby,1324
2021,RStudio,1262
2021,Emacs,1237
2021,Unreal Engine,1103
2021,Objective-C,1011
2021,Symfony,996
2021,Cassandra,954
2021,Scala,925
2021,Groovy,893
2021,Svelte,875
2021,IBM Cloud or Watson,822
2021,Drupal,733
2021,Perl,698
2021,Puppet,626
2021,Haskell,622
2021,IBM DB2,605
2021,Couchbase,582
2021,Deno,572
2021,Oracle Cloud Infrastructure,533
2021,Flow,528
2021,Delphi,528
2021,Elixir,527
2021,F#,500
2021,Chef,492
2021,RubyMine,491
2021,Clojure,429
2021,LISP,392
2021,Julia,329
2021,TextMate,295
2021,Erlang,261
2021,Pulumi,217
2021,COBOL,196
2021,Crystal,175
2021,APL,167
