Year,Language,Count,Category
2012,SQL,3295,Scripting Language
2012,JavaScript,3128,Programming Language
2012,CSS,2825,Markup Language
2012,C#,2470,Programming Language
2012,Java,2350,Programming Language
2012,HTML5,2155,Markup Language
2012,PHP,1926,Programming Language
2012,C++,1529,Programming Language
2012,C,1486,Programming Language
2012,Python,1212,Programming Language
2012,Objective-C,606,Programming Language
2012,Ruby,578,Programming Language
2012,Perl,463,Programming Language
2012,Delphi,63,Programming Language
2012,VB.NET,42,Programming Language
2012,Haskell,40,Programming Language
2012,VB,29,other
2012,Scala,29,Programming Language
2012,Groovy,25,Programming Language
2012,R,21,Programming Language
2012,Lua,20,Programming Language
2012,Visual Basic,19,Programming Language
2012,F#,17,Programming Language
2012,ActionScript,17,Programming Language
2012,vb.net,16,other
2012,VB6,14,other
2012,VBA,14,Scripting Language
2012,ColdFusion,14,Programming Language
2012,VB.Net,13,other
2012,Bash,13,Scripting Language
2012,Clojure,13,Programming Language
2012,Matlab,12,Programming Language
2012,Pascal,10,Programming Language
2012,PL/SQL,10,Scripting Language
2012,Scheme,9,Programming Language
2012,scala,9,other
2012,Prolog,8,Programming Language
2012,Coldfusion,8,other
2012,bash,8,other
2012,MATLAB,8,other
2012,groovy,7,other
2012,Actionscript,7,other
2012,actionscript,7,other
2012,shell,7,other
2012,Erlang,7,Programming Language
2012,ActionScript 3,7,other
2012,haskell,7,other
2012,VB.net,6,other
2012,Assembly,6,Programming Language
2012,Flex,6,Frameworks
2012,Powershell,6,other
2012,VBScript,6,Scripting Language
2012,Mathematica,6,other
2012,None,6,other
2012,Lisp,6,Programming Language
2012,Common Lisp,6,other
2012,Fortran,6,Programming Language
2012,XSL,5,Markup Language
2012,Go,5,Programming Language
2012,LISP,5,other
2012,ASP,5,other
2012,Smalltalk,5,other
2012,clojure,5,other
2012,Ada,5,Programming Language
2012,lua,4,other
2012,android,4,other
2012,XAML,4,Markup Language
2012,CoffeeScript,4,other
2012,coldfusion,4,other
2012,lisp,4,other
2012,VHDL,4,Programming Language
2012,XML,4,Markup Language
2012,Android,4,Platforms
2012,vb,4,other
2012,BASIC,4,Programming Language
2012,vba,3,other
2012,delphi,3,other
2012,asp,3,other
2012,jquery,3,other
2012,CUDA,3,Programming Language
2012,Brainfuck,3,other
2012,erlang,3,other
2012,ASP.NET,3,Web Frameworks
2012,fortran,3,other
2012,HTML,3,Markup Language
2012,XSLT,3,Scripting Language
2012,LabVIEW,3,Tools
2012,D,3,Programming Language
2012,Cobol,3,Programming Language
2012,Django,2,Web Frameworks
2012,Visual Basic .NET,2,other
2012,Assembler,2,other
2012,jQuery,2,Libraries
2012,AS3,2,other
2012,VB .NET,2,other
2012,RPG,2,Programming Language
2012,Grails,2,Web Frameworks
2012,TeX,2,other
2012,prolog,2,other
2012,Visual Dataflex,2,other
2012,XHTML,2,Markup Language
2012,Actionscript 3,2,other
2012,TCL,2,Scripting Language
2012,FORTRAN,2,other
2012,pascal,2,other
2012,Vb.net,2,other
2012,Verilog,2,Programming Language
2012,tcl,2,other
2012,assembly,2,other
2012,PowerShell,2,Scripting Language
2012,Tcl,2,other
2012,powershell,2,other
2012,plpgsql,2,other
2012,SML,2,other
2012,SAS,2,Scripting Language
2012,OCaml,2,Programming Language
2012,Forth,2,Programming Language
2012,NET,2,other
2012,Shell,2,Scripting Language
2012,smalltalk,2,other
2012,Object Pascal,2,other
2012,mysql,2,other
2012,xpath,2,other
2012,LaTeX,2,Markup Language
2012,xhtml,2,other
2012,x86 assembly,2,other
2012,COBOL,2,Programming Language
2012,COBOL (:-,1,other
2012,classic ASP,1,other
2012,ARM,1,other
2012,Powerbuilder,1,other
2012,ASM (x86,1,other
2012,Moscow ML,1,other
2012,assembler,1,other
2012,Turbo Pascal,1,other
2012,Node,1,other
2012,Basic,1,other
2012,Tcl/Tk Elisp,1,other
2012,SPSS,1,other
2012,WPF ASP.Net,1,other
2012,unix scripting,1,other
2012,asm 6502,1,other
2012,bash/awk/unix toolkit,1,other
2012,68HC11,1,other
2012,PPC,1,other
2012,Befunge,1,other
2012,Standard ML,1,other
2012,PL/SQL VB.NET,1,other
2012,Node.JS,1,other
2012,É,1,other
2012,x86,1,other
2012,cobol,1,other
2012,asm,1,other
2012,hlsl,1,other
2012,puppet,1,other
2012,ASP.NET 4 (VB.NET,1,other
2012,Openedge ABL,1,other
2012,asp.net ajax,1,other
2012,Visual Basic for Applications,1,other
2012,your mom,1,other
2012,AppleScript,1,Programming Language
2012,asm x86,1,other
2012,LabView,1,other
2012,xaml,1,other
2012,asm64,1,other
2012,go,1,other
2012,VB6 baby!,1,other
2012,"ASP.net,ASp.net MVC",1,other
2012,Lua Fortran,1,other
2012,"R,MATLAB",1,other
2012,GW-BASIC,1,other
2012,many more,1,other
2012,Maxscript,1,other
2012,JSP,1,Programming Language
2012,Learning C/C++,1,other
2012,so please add to the list,1,other
2012,donno if I'm proficient yet,1,other
2012,VBA! F# Excel,1,other
2012,HTML xslt,1,other
2012,WPF,1,Frameworks
2012,http://en.wikipedia.org/wiki/LINC_4GL,1,other
2012,Groovy (GRAILS framework,1,other
2012,HQL,1,other
2012,ActionScript 2,1,other
2012,Erlang/OTP,1,other
2012,just as good as C#,1,other
2012,AU3,1,other
2012,flex,1,other
2012,coffeescript,1,other
2012,Salesforce Apex,1,other
2012,mongodb,1,other
2012,Structured Query Reporting (SQR,1,other
2012,HLSL,1,other
2012,Excel/VBA,1,other
2012,Soar,1,other
2012,as3,1,other
2012,TeX/LaTeX,1,other
2012,et.c,1,other
2012,CListCtrl,1,other
2012,common lisp,1,other
2012,Assembler (x86 16/32bit,1,other
2012,m68k,1,other
2012,"Flex,ActionScript",1,other
2012,z80,1,other
2012,Visual basic,1,other
2012,MATLAB/Octave,1,other
2012,baby!,1,other
2012,Self,1,other
2012,CoffeScript,1,other
2012,Ragel,1,other
2012,mxml,1,other
2012,And more,1,other
2012,"couchdb,javascript",1,other
2012,eDeveloper/uniPaaS,1,other
2012,FORTRAN II,1,other
2012,Action script,1,other
2012,various shells,1,other
2012,ASP Classic,1,other
2012,Pascal (Delphi,1,other
2012,learning Haskell,1,other
2012,Nemerle,1,Programming Language
2012,no,1,other
2012,Fortan,1,other
2012,Rebol,1,Programming Language
2012,ABAP,1,Programming Language
2012,Apex (force.com,1,other
