Year,Language,Count,Category
2011,SQL,1615,Scripting Language
2011,JavaScript,1421,Programming Language
2011,CSS,1357,Markup Language
2011,C#,1353,Programming Language
2011,Java,911,Programming Language
2011,PHP,789,Programming Language
2011,C,742,Programming Language
2011,C++,741,Programming Language
2011,Python,576,Programming Language
2011,Ruby,287,Programming Language
2011,Perl,285,Programming Language
2011,Objective-C,64,Programming Language
2011,Delphi,48,Programming Language
2011,VB.NET,35,Programming Language
2011,VB,29,other
2011,Haskell,21,Programming Language
2011,None,21,other
2011,vb.net,17,other
2011,Scala,15,Programming Language
2011,HTML,15,Markup Language
2011,ActionScript,15,Programming Language
2011,Objective C,14,other
2011,VB.Net,13,other
2011,ColdFusion,12,other
2011,F#,11,Programming Language
2011,bash,11,other
2011,Groovy,9,Programming Language
2011,Prolog,9,Programming Language
2011,VBA,9,Scripting Language
2011,R,8,Programming Language
2011,Lisp,7,Programming Language
2011,VB6,7,other
2011,XSLT,7,Scripting Language
2011,Lua,7,Programming Language
2011,PowerShell,6,Scripting Language
2011,objective-c,6,other
2011,LabVIEW,6,Tools
2011,java,5,other
2011,Assembly,5,Programming Language
2011,Common Lisp,5,other
2011,vb,5,other
2011,coldfusion,4,other
2011,AS3,4,other
2011,Clojure,4,Programming Language
2011,COBOL,4,Programming Language
2011,lua,4,other
2011,delphi,4,other
2011,Flex,4,Frameworks
2011,Visual Basic,4,Programming Language
2011,VBScript,4,Scripting Language
2011,Object Pascal,4,Programming Language
2011,Scheme,4,Programming Language
2011,ASP,4,other
2011,shell,3,other
2011,scala,3,other
2011,asp.net,3,other
2011,FORTRAN,3,other
2011,MATLAB,3,Programming Language
2011,VB.net,3,other
2011,awk,3,other
2011,Fortran,3,Programming Language
2011,Bash,3,Scripting Language
2011,Tcl,3,Scripting Language
2011,Assembler,3,other
2011,PL/SQL,3,Scripting Language
2011,Coldfusion,3,other
2011,f#,3,other
2011,groovy,3,other
2011,RPG,3,Programming Language
2011,Erlang,3,Programming Language
2011,Ada,3,Programming Language
2011,objective c,3,other
2011,html,3,other
2011,VB 6,3,other
2011,Smalltalk,3,Programming Language
2011,VB .NET,2,other
2011,ObjectiveC,2,other
2011,rexx,2,other
2011,vba,2,other
2011,Visual Basic .NET,2,other
2011,ABAP,2,Programming Language
2011,lisp,2,other
2011,English,2,other
2011,powershell,2,other
2011,tcl,2,other
2011,Shell,2,Scripting Language
2011,BASIC,2,Programming Language
2011,MatLab,2,other
2011,fortran,2,other
2011,IDL,2,Programming Language
2011,PowerBuilder,2,Programming Language
2011,Objective-c,2,other
2011,visual basic,2,other
2011,Mathematica,2,other
2011,ocaml,2,other
2011,JAVA,2,other
2011,VHDL,2,Programming Language
2011,scheme,2,other
2011,Flash,2,other
2011,Silverlight,2,Frameworks
